stockid,symbol,company_name,security_type,sector,subsector
1,A,Agilent Technologies Inc,Equity,Information Technology,0
2,AA,Alcoa Inc.,Equity,Materials,0
3,AAL,American Airls Group Inc,Equity,Industrials,Airlines
4,AANR,Anr Inc Com Cl C New,Equity,Energy,0
5,AANRC,Anr Inc Com Cl C New,Equity,Energy,0
6,AAP,Advanced Autoparts,Equity,Consumer Discretionary,0
7,AAPL,Apple Inc,Equity,Information Technology,Telecommunications Equipment
8,AAXN,Axon Enterprise Inc,Equity,Industrials,0
9,AB,Alliancebernstein Hldg LP,Equity,Financials,0
10,ABB,ABB Ltd,Equity,Industrials,0
11,ABBV,Abbvie Inc,Equity,Health Care,Pharmaceuticals: Major
12,ABC,Amerisourcebergen Corp,Equity,Health Care,0
13,ABI,Applera Applied Biosys,Equity,Health Care,0
14,ABN,Abn-Amro Holding Nv ADR,Equity,Financials,0
15,ABN+G,Abn Amro Cap Fund,Equity,0,0
16,ABNB,Airbnb Inc,Equity,Communications,Internet Software/Services
17,ABT,Abbott Labs,Equity,Health Care,Medical Specialties
18,ABX,Barrick Gold Corp.,Equity,Materials,0
19,AC,Alliance Cap Mgmt Hldg LP,Equity,Financials,0
20,ACAM,Acamar Partners Acquisition Corp,Equity,Financials,0
21,ACAS,American Capital Strategies,Equity,Financials,0
22,ACB,Aurora Cannabis Inc,Equity,Health Care,Agricultural Commodities/Milling
23,ACC,American Campus Communities Inc,Equity,Real Estate,0
24,ACE,ACE LTD Switzerland,Equity,Financials,0
25,ACG,AllianceBernstein Income      ,Equity,Corporate Bonds,0
26,ACI,Arch Coal Inc,Equity,Energy,0
27,ACL,Alcon Inc,Equity,Health Care,0
28,ACM,Aecom Technology Corp,Equity,0,0
29,ACN,Accenture plc,Equity,Information Technology,Information Technology Services
30,ACS,Affiliated Computer Svcs Cl A,Equity,Information Technology,0
31,ACTA,Actua Corp (NV),Equity,Financials,0
32,ACU,Acme United Corp,Equity,Industrials,0
33,ADBE,Adobe Systems Inc,Equity,Information Technology,0
34,ADI,Analog Devices Inc,Equity,Information Technology,Semiconductors
35,ADM,Archer-Daniels-Midlnd Co,Equity,Consumer Staples,0
36,ADP,Automatic Data Processing,Equity,Information Technology,Data Processing Services
37,ADPT,Adaptec Inc,Equity,Information Technology,0
38,ADRNY,Koninklijke Ahold Delhaize NV ADR,Equity,Consumer Staples,0
39,ADSK,Autodesk Inc,Equity,Information Technology,0
40,ADVP,Advancepcs,Equity,Health Care,0
41,ADVS,Advent Software Inc,Equity,Information Technology,0
42,ADX,Adams Express                 ,Equity,Large Blend,0
43,AEC,Associated Estate Realty,Equity,Financials,0
44,AEE,Ameren Corporation,Equity,Utilities,0
45,AEG,Aegon NV,Equity,Financials,0
46,AEM,Agnico-Eagle Mines Ltd.,Equity,Materials,0
47,AENY,Americas Energy Co,Equity,Energy,0
48,AEO,Amern Eagle Outfitrs New,Equity,Consumer Discretionary,0
49,AEP,American Elec Pwr Inc,Equity,Utilities,0
50,AES,A E S Corp,Equity,Utilities,0
51,AET,Aetna,Equity,Health Care,0
52,AEV,Aegon Nv,Equity,Financials,0
53,AFAM,Almost Family Inc,Equity,Health Care,0
54,AFB,Allianceberstein Natl Fd,Equity,0,0
55,AFFX,Affymetrix Inc,Equity,Health Care,0
